"Name","State","Tags","Runtime","_name_or_path","architectures","eval_steps","eval_strategy","gradient_accumulation_steps","hidden_size","learning_rate","lr_scheduler_type","max_grad_norm","max_length","max_position_embeddings","max_window_layers","metric_for_best_model","model/num_parameters","model_type","num_attention_heads","num_hidden_layers","num_key_value_heads","num_train_epochs","peft_config.default.lora_alpha","peft_config.default.lora_dropout","peft_config.default.peft_type","peft_config.default.r","peft_config.default.target_modules","per_device_eval_batch_size","per_device_train_batch_size","pretraining_tp","quantization_config._load_in_4bit","quantization_config.bnb_4bit_compute_dtype","quantization_config.bnb_4bit_quant_storage","quantization_config.bnb_4bit_quant_type","quantization_config.quant_method","report_to","save_steps","save_total_limit","seed","tie_encoder_decoder","transformers_version","vocab_size","warmup_ratio","eval/loss","eval/runtime","eval/samples_per_second","eval/steps_per_second","total_flos","train/epoch","train/global_step","train/grad_norm","train/learning_rate","train/loss","train_loss","train_runtime","train_samples_per_second","train_steps_per_second"
"qwen25-14b-r16-q2sql","crashed","","235680","Qwen/Qwen2.5-14B-Instruct","[""Qwen2ForCausalLM""]","546","steps","8","5120","0.00015","cosine","1","20","32768","70","eval_loss","14838846464","qwen2","40","48","8","1.5","32","0.1","LORA","16","[""k_proj"",""up_proj"",""gate_proj"",""q_proj"",""down_proj"",""o_proj"",""v_proj""]","2","2","","true","bfloat16","uint8","nf4","BITS_AND_BYTES","[""wandb""]","546","3","42","false","4.44.0","152064","0.1","0.04789659380912781","16402.9839","0.457","0.229","","0.7772761044750529","1700","0.059141624718904495","0.00008336334268634804","0.046","","","",""
"sqlcoder-7b-bird-pretrained-1epoch","finished","1-epoch, bird-pretrained, sqlcoder, thesis-comparison","181987","defog/sqlcoder-7b-2","[""LlamaForCausalLM""]","546","steps","4","4096","0.0002","cosine","1","20","16384","","eval_loss","6778523648","llama","32","32","32","1","32","0.1","LORA","16","[""q_proj"",""up_proj"",""gate_proj"",""k_proj"",""down_proj"",""o_proj"",""v_proj""]","4","4","1","true","bfloat16","uint8","nf4","BITS_AND_BYTES","[""wandb""]","546","3","42","false","4.44.0","32016","0.1","0.036017466336488724","9777.2901","0.767","0.192","915279019193991200","0.9998857012229968","2187","0.034118104726076126","1.743800303125487e-7","0.0363","0.07252567753052679","181983.6126","0.192","0.012"
